DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-02-01T06:33:25.000+00:00,59.331,-152.667,108.0,2.3,Ml,,277,,,ak,ak10648546,1359700817210
2013-02-01T06:32:36.570+00:00,47.481,81.106,16.2,4.5,mb,,51,,,us,usc000ezj6,1359702622137
2013-02-01T06:14:42.000+00:00,62.103,-141.951,9.6,1.9,Ml,,133,,,ak,ak10648543,1359746977338
2013-02-01T06:14:41.000+00:00,61.789,-151.870,141.1,2.0,Ml,,158,,,ak,ak10648539,1359699689784
2013-02-01T06:09:17.900+00:00,37.529,-118.819,7.3,1.0,Md,,151,,,nc,nc71932711,1359699056572
2013-02-01T05:51:04.800+00:00,38.816,-122.818,2.5,1.8,Md,,43,,,nc,nc71932706,1359699850215
2013-02-01T05:44:28.100+00:00,18.184,-67.403,9.0,2.8,Md,,292,,,pr,pr13032000,1359703010997
2013-02-01T05:36:40.930+00:00,-11.090,165.538,9.4,6.0,Mwc,,29,,,us,usc000ezil,1359778631288
2013-02-01T05:30:23.000+00:00,62.146,-152.190,134.4,2.4,Ml,,97,,,ak,ak10648525,1359696855654
2013-02-01T05:12:27.000+00:00,63.238,-150.195,82.5,1.2,Ml,,212,,,ak,ak10648523,1359695731061
2013-02-01T04:53:48.000+00:00,60.010,-152.993,2.5,1.7,Ml,,97,,,ak,ak10648518,1359694829111
2013-02-01T04:51:56.800+00:00,33.696,-116.822,17.8,1.3,Ml,,43,,,ci,ci15279737,1359694486696
2013-02-01T04:38:14.700+00:00,36.469,-120.985,6.4,1.0,Md,,86,,,nc,nc71932686,1359774963048
2013-02-01T04:36:44.000+00:00,60.010,-152.992,2.7,1.9,Ml,,97,,,ak,ak10648510,1359693804921
2013-02-01T04:17:41.600+00:00,36.468,-120.991,6.9,1.1,Md,,86,,,nc,nc71069509,1359747869879
2013-02-01T04:17:17.400+00:00,35.486,-118.294,3.3,1.4,Ml,,101,,,ci,ci15279729,1359692412545
2013-02-01T04:08:37.200+00:00,38.814,-122.805,2.3,1.2,Md,,76,,,nc,nc71932671,1359693733376
2013-02-01T04:05:54.900+00:00,36.399,-117.841,1.0,1.4,Ml,,86,,,ci,ci15279721,1359758846579
2013-02-01T04:01:10.000+00:00,59.938,-152.861,95.5,1.5,Ml,,241,,,ak,ak10648500,1359745318372
2013-02-01T03:59:19.900+00:00,35.818,-117.692,7.6,1.2,Ml,,47,,,ci,ci15279713,1359758560998
2013-02-01T03:36:37.000+00:00,59.999,-153.050,6.5,2.6,Ml,,101,,,ak,ak10648490,1359691758510
2013-02-01T03:33:26.000+00:00,60.016,-152.911,0.1,2.8,Ml,,97,,,ak,ak10648484,1359689894500
2013-02-01T03:22:31.000+00:00,63.453,-150.871,13.4,1.4,Ml,,101,,,ak,ak10648481,1359689694692
2013-02-01T03:15:33.000+00:00,61.379,-151.481,89.9,2.0,Ml,,104,,,ak,ak10648474,1359689117954
2013-02-01T03:15:28.500+00:00,38.809,-122.814,2.1,1.5,Md,,101,,,nc,nc71932646,1359689650436
2013-02-01T03:06:38.400+00:00,48.009,-122.732,13.1,1.0,Md,,270,,,uw,uw60503811,1359753610907
2013-02-01T02:49:57.900+00:00,38.793,-122.780,4.0,1.7,Md,,40,,,nc,nc71932631,1359687097948
2013-02-01T02:33:43.000+00:00,59.230,-152.309,42.6,2.0,Ml,,187,,,ak,ak10648463,1359686194189
